ID1,ID2,obsdttm,obsval
4,2,5/26/2012 0:00,346
4,2,5/28/2011 0:00,350
4,2,5/4/2013 0:00,276
4,2,5/5/2012 0:00,362
4,2,5/7/2011 0:00,316
4,2,6/1/2013 0:00,290
4,2,6/11/2011 0:00,340
4,2,6/15/2013 0:00,362
4,2,6/16/2012 0:00,390
4,2,6/18/2011 0:00,408
4,2,6/2/2012 0:00,324
4,2,6/22/2013 0:00,298
4,2,6/23/2012 0:00,270
4,2,6/25/2011 0:00,276
4,2,6/29/2013 0:00,338
4,2,6/30/2012 0:00,312
4,2,6/4/2011 0:00,310
4,2,6/8/2013 0:00,300
4,2,6/9/2012 0:00,326
4,2,7/13/2013 0:00,310
4,2,7/14/2012 0:00,356
4,2,7/16/2011 0:00,292
4,2,7/2/2011 0:00,296
4,2,7/20/2013 0:00,296
4,2,7/21/2012 0:00,400
4,2,7/23/2011 0:00,274
4,2,7/27/2013 0:00,340
4,2,7/28/2012 0:00,256
4,2,7/30/2011 0:00,240
4,2,7/6/2013 0:00,390
4,2,7/7/2012 0:00,256
4,2,7/9/2011 0:00,314
4,2,8/10/2013 0:00,456
4,2,8/11/2012 0:00,266
4,2,8/13/2011 0:00,434
4,2,8/17/2013 0:00,348
4,2,8/18/2012 0:00,288
4,2,8/20/2011 0:00,242
4,2,8/24/2013 0:00,284
4,2,8/25/2012 0:00,268
4,2,8/27/2011 0:00,350
4,2,8/3/2013 0:00,196
4,2,8/31/2013 0:00,306
4,2,8/4/2012 0:00,294
4,2,8/6/2011 0:00,264
4,2,9/1/2012 0:00,228
4,2,9/10/2011 0:00,286
4,2,9/14/2013 0:00,330
4,2,9/15/2012 0:00,326
4,2,9/17/2011 0:00,376
4,2,9/21/2013 0:00,320
4,2,9/22/2012 0:00,328
4,2,9/24/2011 0:00,270
4,2,9/28/2013 0:00,320
4,2,9/29/2012 0:00,234
4,2,9/3/2011 0:00,280
4,2,9/7/2013 0:00,354
4,2,9/8/2012 0:00,318
5,1,1/1/2011 0:00,102
5,1,1/12/2013 0:00,88
5,1,1/14/2012 0:00,164
5,1,1/15/2011 0:00,136
5,1,1/19/2013 0:00,90
5,1,1/21/2012 0:00,124
5,1,1/22/2011 0:00,126
5,1,1/26/2013 0:00,120
5,1,1/28/2012 0:00,120
5,1,1/29/2011 0:00,136
5,1,1/5/2013 0:00,102
5,1,1/7/2012 0:00,184
5,1,1/8/2011 0:00,162
5,1,10/1/2011 0:00,132
5,1,10/12/2013 0:00,148
5,1,10/13/2012 0:00,108
5,1,10/15/2011 0:00,134
5,1,10/19/2013 0:00,134
5,1,10/20/2012 0:00,124
5,1,10/22/2011 0:00,118
5,1,10/26/2013 0:00,108
5,1,10/27/2012 0:00,70
5,1,10/29/2011 0:00,78
5,1,10/5/2013 0:00,118
5,1,10/6/2012 0:00,136
5,1,10/8/2011 0:00,138
5,1,11/10/2012 0:00,146
5,1,11/12/2011 0:00,134
5,1,11/13/2010 0:00,108
5,1,11/16/2013 0:00,122
5,1,11/17/2012 0:00,104
5,1,11/19/2011 0:00,106
5,1,11/20/2010 0:00,98
5,1,11/23/2013 0:00,118
5,1,11/24/2012 0:00,76
5,1,11/26/2011 0:00,66
5,1,11/27/2010 0:00,52
5,1,11/3/2012 0:00,106
5,1,11/30/2013 0:00,124
5,1,11/5/2011 0:00,100
5,1,11/6/2010 0:00,128
5,1,11/9/2013 0:00,156
5,1,12/1/2012 0:00,116
5,1,12/10/2011 0:00,106
5,1,12/11/2010 0:00,126
5,1,12/14/2013 0:00,112
5,1,12/15/2012 0:00,110
5,1,12/17/2011 0:00,96
5,1,12/18/2010 0:00,106
5,1,12/21/2013 0:00,140
5,1,12/22/2012 0:00,96
5,1,12/24/2011 0:00,84
5,1,12/25/2010 0:00,88
5,1,12/28/2013 0:00,98
5,1,12/29/2012 0:00,104
5,1,12/3/2011 0:00,112
5,1,12/31/2011 0:00,120
5,1,12/4/2010 0:00,98
5,1,12/7/2013 0:00,132
5,1,12/8/2012 0:00,82
5,1,2/11/2012 0:00,208
5,1,2/12/2011 0:00,160
5,1,2/16/2013 0:00,134
5,1,2/18/2012 0:00,108
5,1,2/19/2011 0:00,156
5,1,2/2/2013 0:00,100
5,1,2/23/2013 0:00,152
5,1,2/25/2012 0:00,118
5,1,2/26/2011 0:00,122
5,1,2/4/2012 0:00,148
5,1,2/5/2011 0:00,134
5,1,2/9/2013 0:00,92
5,1,3/10/2012 0:00,240
5,1,3/12/2011 0:00,170
5,1,3/16/2013 0:00,130
5,1,3/17/2012 0:00,154
5,1,3/19/2011 0:00,122
5,1,3/2/2013 0:00,138
5,1,3/23/2013 0:00,138
5,1,3/24/2012 0:00,168
5,1,3/26/2011 0:00,118
5,1,3/3/2012 0:00,114
5,1,3/30/2013 0:00,112
5,1,3/31/2012 0:00,114
5,1,3/5/2011 0:00,170
5,1,3/9/2013 0:00,184
5,1,4/13/2013 0:00,126
5,1,4/14/2012 0:00,144
5,1,4/16/2011 0:00,144
5,1,4/2/2011 0:00,162
5,1,4/20/2013 0:00,140
5,1,4/21/2012 0:00,162
5,1,4/23/2011 0:00,118
5,1,4/27/2013 0:00,142
5,1,4/28/2012 0:00,124
5,1,4/30/2011 0:00,124
5,1,4/6/2013 0:00,134
5,1,4/7/2012 0:00,162
5,1,4/9/2011 0:00,186
5,1,5/11/2013 0:00,206
5,1,5/12/2012 0:00,174
5,1,5/14/2011 0:00,168
5,1,5/18/2013 0:00,138
5,1,5/19/2012 0:00,152
5,1,5/21/2011 0:00,120
5,1,5/25/2013 0:00,128
5,1,5/26/2012 0:00,120
5,1,5/28/2011 0:00,114
5,1,5/4/2013 0:00,158
5,1,5/5/2012 0:00,148
5,1,5/7/2011 0:00,238
5,1,6/1/2013 0:00,130
5,1,6/11/2011 0:00,206
5,1,6/15/2013 0:00,170
5,1,6/16/2012 0:00,184
5,1,6/18/2011 0:00,190
5,1,6/2/2012 0:00,118
5,1,6/22/2013 0:00,154
5,1,6/23/2012 0:00,196
5,1,6/25/2011 0:00,196
5,1,6/29/2013 0:00,146
5,1,6/30/2012 0:00,160
5,1,6/4/2011 0:00,164
5,1,6/8/2013 0:00,254
5,1,6/9/2012 0:00,196
5,1,7/13/2013 0:00,172
5,1,7/14/2012 0:00,178
5,1,7/16/2011 0:00,146
5,1,7/2/2011 0:00,160
5,1,7/20/2013 0:00,126
5,1,7/21/2012 0:00,168
5,1,7/23/2011 0:00,140
5,1,7/27/2013 0:00,98
5,1,7/28/2012 0:00,118
5,1,7/30/2011 0:00,134
5,1,7/6/2013 0:00,274
5,1,7/7/2012 0:00,182
5,1,7/9/2011 0:00,296
5,1,8/10/2013 0:00,138
5,1,8/11/2012 0:00,206
5,1,8/13/2011 0:00,156
5,1,8/17/2013 0:00,146
5,1,8/18/2012 0:00,118
5,1,8/20/2011 0:00,130
5,1,8/24/2013 0:00,110
5,1,8/25/2012 0:00,108
5,1,8/27/2011 0:00,104
5,1,8/3/2013 0:00,118
5,1,8/31/2013 0:00,66
5,1,8/4/2012 0:00,126
5,1,8/6/2011 0:00,134
5,1,9/1/2012 0:00,124
5,1,9/10/2011 0:00,152
5,1,9/14/2013 0:00,142
5,1,9/15/2012 0:00,130
5,1,9/17/2011 0:00,128
5,1,9/21/2013 0:00,100
5,1,9/22/2012 0:00,122
5,1,9/24/2011 0:00,114
5,1,9/28/2013 0:00,116
5,1,9/29/2012 0:00,116
5,1,9/3/2011 0:00,104
5,1,9/7/2013 0:00,138
